id;produkt;kcal;bialko;weglowodany;tluszcze
1;Woda;0;0;0;0
2;Pomidor;19;0.9;4.1;0.2
3;Oliwa z oliwek;884;0;0;100
4;Pieprz czarny;251;10.4;63.8;3.3
5;Banan;89;1.1;22.8;0.2
6;Czosnek;152;6.4;32.6;0.5
7;Cebula (swieza);40;1.1;9.3;0.1
8;Jablko (swiezy owoc);57;0.3;13.8;0.2
9;Sol biala;0;0;0;0
10;Marchew (surowa);41;0.9;9.6;0.2
11;Ogorek;14;0.7;2.9;0.1
12;Sol morska;0;0;0;0
13;Platki owsiane;389;16.9;66.3;6.9
14;Sok z cytryny;22;0.4;6.9;0.2
15;Chleb zytni razowy;227;5.9;51.2;1.7
16;Salata;13;1.3;2.2;0.3
17;Papryka czerwona;26;1;6;0.3
18;Rzodkiewka;16;0.7;3.4;0.1
19;Miod pszczeli;319;0.3;79.4;0
20;Jogurt naturalny 2% tluszczu;60;4.3;5.2;2
21;Ziemniaki;77;2.1;17.5;0.1
22;Ogorek kiszony;11;0.3;2.3;0.2
23;Bulion warzywny;6;0.2;1;0.1
24;Olej;884;0;0;100
25;Kurczak (piers bez skory);121;21.8;0;3.7
26;Cynamon;247;4;80.6;1.2
27;Mleko 2% tluszczu;50;3.3;4.8;2
28;Seler (korzen);42;1.5;9.2;0.3
29;Bulka grahamka;270;8.5;56.8;1.7
30;Pietruszka korzen;49;2.6;10.5;0.5
31;Szczypiorek;35;4.1;4.2;0.8
32;Maslo ekstra;748;0.7;0.7;82.5
33;Awokado;160;2;8.5;14.6
34;Cukier;400;0;100;0
35;Szpinak swiezy;23;2.9;3.6;0.4
36;Kiwi;61;1.1;14.7;0.5
37;Jajo kurze (cale);143;12.6;0;9.5
38;Pomidor koktajlowy;18;0.1;4;0.1
39;Pomarancza;47;0.9;11.8;0.1
40;Pietruszka liscie ;36;3;6.3;0.8
41;Jajko ugotowane na twardo;155;12.6;1.1;10.6
42;Ziemniaki gotowane;87;1.9;20;0.1
43;Rukola;25;2.6;3.7;0.7
44;Cukinia;17;1.2;3.1;0.3
45;Jajko;145;14;0;10
46;Jogurt grecki light;57;10.2;5.2;0
47;Rodzynki;299;3.1;79.2;0.5
48;Cebula (czerwona);32;1.2;6.1;0.4
49;Papryka (surowa);26;1;6;0.3
50;Oregano;265;9;68.9;4.3
51;Koperek;43;3.5;7;1.1
52;Gruszka (swiezy owoc);58;0.4;15.4;0.1
53;Chleb graham;231;8.3;48.7;1.7
54;Brokuly;31;3;5.2;0.4
55;Salata lodowa;14;0.9;3;0.1
56;Kawa parzona bez cukru;1;0.1;0;0
57;smietana 12% tluszczu;134;2.8;4.3;12
58;Mandarynka;53;0.8;13.3;0.3
59;Kukurydza (konserwa);61;2;13.9;0.8
60;Truskawki;32;0.7;7.7;0.3
61;Slonecznik ziarno;584;20.8;20;51.5
62;Orzechy wloskie;654;15.2;13.7;65.2
63;Kawa z mlekiem (2 lyzki mleka 2%);7;0.4;0.5;0.2
64;Migdaly;579;20;20.5;49.4
65;Kasza jaglana;378;11;72.9;4.2
66;Ksylitol cukier brzozowy;240;0;100;0
67;Maslo smietankowe;670;1.1;1.1;73.5
68;Bazylia - otarta;233;23;47.7;4
69;Herbata (parzona);1;0.1;0.3;0
70;Mleko 0.5% tluszczu;38;3.4;5;0.5
71;Kalafior;27;2.4;5;0.2
72;Kawa rozpuszczalna (bez cukru);2;0.1;0.3;0
73;Przecier pomidorowy;24;1.3;5.4;0.2
74;Jogurt naturalny;69;4.6;5.8;3
75;Maslo 83%;753;0;0;83
76;zurawina (suszona);308;0.2;82.4;0.5
77;Tymianek - otarty;270;10;60;0
78;Jogurt naturalny 0% tluszczu;48;5.7;5.2;0.2
79;Oliwki zielone;132;1.4;3.8;12.7
80;Papryka chili;40;1.9;8.8;0.4
81;Serek wiejski;97;11.8;2.7;5
82;Por;29;2.2;5.7;0.3
83;Ser Gouda;356;25;2.2;27
84;Mleko 1.5% tluszczu;45;3;4.8;1.5
85;Chleb zytni;259;8.5;48.3;3.3
86;Kasza jaglana (ugotowana);119;3.5;24;1
87;Chleb;247;13;41.3;3.4
88;Miod;324;0.3;79.5;0
89;Herbata (parzona) - Lipton;4;0.4;0;0
90;Przyprawa kmin rzymski (mielony);375;17.8;44.2;22.3
91;Papryka (proszek);282;14.1;54;12
92;Ryz brazowy (ugotowany);112;2.3;23.5;0.8
93;Ocet balsamiczny;88;0.5;17;0
94;Musztarda;111;5.2;10.5;5.4
95;Czosnek granulowany;350;14.5;70;1.2
96;Serek wiejski lekki - Piatnica;81;11;2.4;3
97;Kawa z mlekiem (2 lyzki mleka 3.2%);9;0.4;0.7;0.5
98;Ser Mozzarella light;157;19;1;8.5
99;losos wedzony;162;21.5;0;8.4
100;sliwki suszone;240;2.2;63.9;0.4
101;Jajko kurze;139;12.5;0.6;9.7
102;Chleb pszenno-zytni;203;4.6;43.7;1.1
103;Makrela wedzona;222;20.7;0;15.2
104;Cytryna;29;1.1;9;0.3
105;Koncentrat pomidorowy;97;5.6;16.7;1.5
106;Herbata zielona (parzona);4;0.5;0.5;0
107;Twarog chudy - Mlekopol;86;18.3;3.5;0.2
108;Pestki dyni;572;24.5;18;45.8
109;Makaron pelnoziarnisty (ugotowany);124;5.3;26.5;0.5
110;Kefir naturalny 2% tluszczu;50;3.4;4.7;2
111;Ogorek konserwowy;11;0.3;2.3;0.2
112;Pieczarki swieze;22;3.1;3.3;0.3
113;Ser Feta;264;14.2;4.1;21.3
114;Mleko 3.2% tluszczu;61;3.2;4.8;3.2
115;Kielki rzodkiewki;42;3.9;3.8;2.3
116;Ocet jablkowy;21;0;0.9;0
117;Morele suszone;319;5.4;72.2;1.2
118;Bulka kajzerka;293;9.9;52.7;4.3
119;Roszponka;17;1;3;0.1
120;Ryz brazowy (nieugotowany);354;7.7;72;3.2
121;Brzoskwinia;39;0.9;9.5;0.3
122;Wiorki kokosowe;657;5.6;27;63.2
123;Cukier brazowy;380;0.1;98.1;0
124;Curry (potrawa);147;4;31;3
125;Kawa (rozpuszczona);2;0.2;0.3;0
126;Przyprawa Curry;325;14.3;55.8;14
127;Ziola prowansalskie;0;0;0;0
128;Ketchup;101;1;27.4;0.1
129;Papryka slodka (proszek);282;14.1;54;12.9
130;Proszek do pieczenia;51;1.4;11;0.2
131;Platki owsiane gorskie;376;11.9;62.4;7.2
